video_title,video_url,timestamp,channel,channel_url
"Je hebt naar ""Omvolking"": het woord dat werkt als een rode lap op een stier gekeken",https://www.youtube.com/watch?v=d6a4Sam1tWY,2024-05-22,VRT NWS,https://www.youtube.com/channel/UC59gT3bFTFNSqafRcluDIsQ
Je hebt naar Tom Van Grieken (Vlaams Belang) belooft de term 'omvolking' minder te gebruiken gekeken,https://www.youtube.com/watch?v=8EAv3jWsbFE,2024-05-22,VRT NWS,https://www.youtube.com/channel/UC59gT3bFTFNSqafRcluDIsQ
Je hebt naar Crowd Stunned by Bill Maher’s Unexpected Reaction to Harrison Butker Speech gekeken,https://www.youtube.com/watch?v=kCUY1AkpFh8,2024-05-22,The Rubin Report,https://www.youtube.com/channel/UCJdKr0Bgd_5saZYqLCa9mng
Je hebt naar AirPods Pro 2 — The Untold Truth After 1 Year of Use gekeken,https://www.youtube.com/watch?v=tJhAA8qvUdI,2024-05-22,Arthur Winer,https://www.youtube.com/channel/UCyIz8xeaU78aR4WkJ0kv02g
Je hebt naar Apple AirPods 2 - Review gekeken,https://www.youtube.com/watch?v=TJTj_m8BgC4,2024-05-22,Coolblue,https://www.youtube.com/channel/UCEoqPKAUnoZ5K6iXq0w6K0g
Je hebt naar AirPods Pro 2 Review: 1 Underrated Thing! gekeken,https://www.youtube.com/watch?v=f3DfJxvkN-8,2024-05-21,Marques Brownlee,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ
Je hebt naar Bill Burr WRECKS Bill Maher On His Own Podcast... gekeken,https://www.youtube.com/watch?v=zgI15-iDpOM,2024-05-21,HasanAbi,https://www.youtube.com/channel/UCtoaZpBnrd0lhycxYJ4MNOQ
Je hebt naar Allereerste interview met de maker BENDER gekeken,https://www.youtube.com/watch?v=8cltEhvIqfM,2024-05-20,Left Laser,https://www.youtube.com/channel/UCZU-vIoeB1e3by8mVaVLwIg
"Je hebt naar LIVE: Presentatie coalitieakkoord PVV, VVD, NSC en BBB | NOS Radio 1 Journaal gekeken",https://www.youtube.com/watch?v=JeCMfRQI3Qg,2024-05-16,NPO Radio 1,https://www.youtube.com/channel/UClRJ0fR9SrsdDSp0_na5Wew
Je hebt naar SHOWDOWN: AirPods Pro 2 VS SONY WF1000XM5! gekeken,https://www.youtube.com/watch?v=xHNqdsJf1UM,2024-05-16,UrAvgConsumer,https://www.youtube.com/channel/UC9fSZHEh6XsRpX-xJc6lT3A
Je hebt naar AirPods Pro 2: Why is everybody praising these gekeken,https://www.youtube.com/watch?v=oHOwfAcNG2c,2024-05-16,The Verge,https://www.youtube.com/channel/UCddiUEpeqJcYeBxX1IVBKvQ
Je hebt naar I hate giving Apple my money... - Apple AirPods Pro 2 gekeken,https://www.youtube.com/watch?v=bDgolMkLREA,2024-05-16,ShortCircuit,https://www.youtube.com/channel/UCdBK94H6oZT2Q7l0-b0xmMg
Je hebt naar Biden Wants a Debate! gekeken,https://www.youtube.com/watch?v=jVE2GaoHUZw,2024-05-16,Ben Shapiro,https://www.youtube.com/channel/UCnQC_G5Xsjhp9fEJKuIcrSw
Je hebt naar Nemo - The Code (LIVE) | Switzerland🇨🇭| Grand Final | Eurovision 2024 gekeken,https://www.youtube.com/watch?v=CO_qJf-nW0k,2024-05-12,Eurovision Song Contest,https://www.youtube.com/channel/UCRpjHHu8ivVWs73uxHlWwFA
Je hebt naar Nemo - The Code | Switzerland 🇨🇭 | Official Music Video | Eurovision 2024 gekeken,https://www.youtube.com/watch?v=kiGDvM14Kwg,2024-05-12,Eurovision Song Contest,https://www.youtube.com/channel/UCRpjHHu8ivVWs73uxHlWwFA
Je hebt naar Albert Verlinde: 'Ik vind Joost Klein een beetje een verwend mannetje geworden!' | VANDAAG INSIDE gekeken,https://www.youtube.com/watch?v=pFgaO3A1VPs,2024-05-11,Vandaag Inside,https://www.youtube.com/channel/UCxvQFgr1AcMbS1rheMrn4uw
Je hebt naar Aran Bade geeft Songfestival-update vanuit Malmö; René kan lach niet bedwingen | VANDAAG INSIDE gekeken,https://www.youtube.com/watch?v=y2rDPy7YyAw,2024-05-11,Vandaag Inside,https://www.youtube.com/channel/UCxvQFgr1AcMbS1rheMrn4uw
Je hebt naar Halsema over aanval op PowNed: 'Ingrijpen was niet mogelijk!' gekeken,https://www.youtube.com/watch?v=TqtW3UD3huk,2024-05-11,Omroep PowNed,https://www.youtube.com/channel/UCHTtspK-G7Wt68awRpTSkiw
Je hebt naar ZIEN: ME veegt extreemlinks kamp bij universiteit leeg! gekeken,https://www.youtube.com/watch?v=-W_bT_Ff8wI,2024-05-11,Omroep PowNed,https://www.youtube.com/channel/UCHTtspK-G7Wt68awRpTSkiw
Je hebt naar Waarom gebruikte de politie geweld? | Renze gekeken,https://www.youtube.com/watch?v=ShE5C9Wq9Po,2024-05-11,RTL Talkshow,https://www.youtube.com/channel/UCIU3UrW1wQHKJdi-tZvxsfw
Je hebt naar Lilian Helder (BBB) over pro-Palestijnse demonstraties: 'Pure opruiing tegen agenten' gekeken,https://www.youtube.com/watch?v=2cPwDI9eaa4,2024-05-11,WNL,https://www.youtube.com/channel/UCUSrVHoJrz68z3Q5qHZZC4w
Je hebt naar Buren van bezette UvA-gebouwen reageren op ontruiming gekeken,https://www.youtube.com/watch?v=X4btr4T9V2A,2024-05-11,AT5,https://www.youtube.com/channel/UCNo0EFgAgYCXqEZqGOBmKlg
Je hebt naar Amsterdam zegt NEE tegen genocide! gekeken,https://www.youtube.com/watch?v=06DeYqs9INc,2024-05-11,Left Laser,https://www.youtube.com/channel/UCZU-vIoeB1e3by8mVaVLwIg
Je hebt naar Joe Rogan got Real MAD at Joey for this… 😡 #shorts gekeken,https://www.youtube.com/watch?v=hNvU9EaDiSY,2024-05-11,Fire,https://www.youtube.com/channel/UCyNsPTbcRQoI_RdjZoBiGaQ
Je hebt naar Hans Zimmer Collection (Space Sounds Playlist) gekeken,https://www.youtube.com/watch?v=oe8kgXNqLFI,2024-05-11,dhe Perissann,https://www.youtube.com/channel/UCfyUjw4uv_LLMSWtB7Nszig
Je hebt naar UvA Rector Magnificus reageert op pro-Palestijnse demonstraties| NPO Radio 1 gekeken,https://www.youtube.com/watch?v=Tr8zBoT3oq4,2024-05-11,NPO Radio 1,https://www.youtube.com/channel/UClRJ0fR9SrsdDSp0_na5Wew
